Nitrogen,Phosphorous,Potassium,Temperature,Humidity,Moisture,Soil Type,Crop Type,Fertilizer Name
92,14,106,38.4,65.3,32.3,Red,Wheat,DAP
87,116,99,19.3,70.0,12.8,Black,Wheat,28-28
37,129,191,44.8,67.1,40.6,Red,Millets,Urea
58,14,189,17.7,67.2,29.1,Sandy,Oil seeds,DAP
130,50,134,20.1,19.6,57.4,Sandy,Tobacco,28-28
8,89,52,21.9,34.7,44.2,Loamy,Sugarcane,28-28
80,49,103,37.7,50.6,20.4,Black,Millets,Urea
43,13,94,42.7,21.6,19.8,Loamy,Sugarcane,DAP
81,110,52,32.6,97.0,40.4,Clayey,Oil seeds,14-35-14
14,44,64,15.5,50.4,29.7,Clayey,Oil seeds,14-35-14
80,135,162,38.7,66.1,56.3,Black,Millets,Urea
71,11,161,17.9,45.9,43.4,Sandy,Wheat,DAP
103,34,192,26.5,97.6,52.4,Black,Paddy,DAP
102,26,136,36.3,23.5,32.0,Loamy,Paddy,DAP
51,95,131,42.2,35.4,30.5,Sandy,Cotton,14-35-14
35,12,159,33.0,73.8,54.0,Clayey,Ground Nuts,14-35-14
61,133,27,39.1,30.0,54.6,Clayey,Pulses,14-35-14
91,128,120,34.4,14.0,27.6,Loamy,Ground Nuts,14-35-14
136,61,164,35.8,37.2,22.2,Black,Cotton,14-35-14
112,61,185,43.9,35.7,34.9,Sandy,Barley,28-28
112,80,186,33.3,57.2,12.6,Clayey,Maize,10-26-26
128,125,129,30.9,52.5,37.6,Sandy,Paddy,10-26-26
122,144,37,26.0,68.4,41.7,Black,Tobacco,14-35-14
123,69,92,40.8,42.0,21.0,Sandy,Maize,28-28
95,51,160,26.9,58.5,51.9,Black,Pulses,14-35-14
41,98,6,34.8,84.3,37.8,Red,Ground Nuts,14-35-14
128,47,139,31.7,89.9,19.4,Loamy,Maize,10-26-26
47,130,147,41.6,81.1,42.1,Black,Oil seeds,14-35-14
103,83,111,18.0,71.1,10.3,Sandy,Ground Nuts,14-35-14
53,67,32,29.8,29.4,28.3,Loamy,Sugarcane,10-26-26
127,32,175,17.8,45.6,23.3,Sandy,Cotton,DAP
50,7,26,28.0,44.1,42.3,Clayey,Barley,DAP
60,47,146,32.2,80.1,12.2,Clayey,Maize,10-26-26
123,36,23,24.9,61.5,38.6,Black,Paddy,10-26-26
66,127,17,31.7,94.5,44.8,Clayey,Tobacco,20-20
31,85,150,19.2,58.6,53.9,Loamy,Millets,20-20
42,38,169,39.3,83.7,53.4,Sandy,Maize,10-26-26
35,19,64,17.1,48.1,12.5,Sandy,Pulses,14-35-14
97,65,31,32.3,17.1,33.3,Red,Cotton,14-35-14
57,85,48,16.1,84.7,28.0,Loamy,Barley,28-28
7,52,59,21.5,67.6,14.3,Sandy,Paddy,17-17-17
54,51,143,44.3,58.4,26.1,Black,Tobacco,Urea
91,57,182,22.5,29.9,14.0,Black,Millets,Urea
57,121,0,28.3,34.6,14.7,Sandy,Paddy,Urea
116,128,15,30.5,70.5,31.8,Clayey,Millets,20-20
85,28,205,17.8,22.1,25.6,Red,Cotton,DAP
84,38,99,20.2,51.3,29.9,Clayey,Tobacco,DAP
99,33,179,26.2,67.8,35.2,Clayey,Barley,DAP
